nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
"Goel and Dolan, 2004","Goel and Dolan, 2004",manual_override,15178381,Goel,2004,Differential involvement of left prefrontal cortex in inductive and deductive reasoning.,1,2
"Gagnon L, 2012","Gagnon L, 2012",exact_match,22483742,Gagnon,2012,Activation of the hippocampal complex during tactile maze solving in congenitally blind subjects.,1,1
"Gaeke, 2005","Gaeke, 2005",manual_override,15907312,,,,0,0
"Fincham J M, 2002","Fincham J M, 2002",exact_match,11880658,Fincham,2002,Neural mechanisms of planning: a computational analysis using event-related fMRI.,1,1
"Fehr T, 2007","Fehr T, 2007",exact_match,17822681,Fehr,2007,Common brain regions underlying different arithmetic operations as revealed by conjunct fMRI-BOLD activation.,1,1
"Fangmeier T, 2009","Fangmeier T, 2009",exact_match,18996100,Fangmeier,2009,Neural correlates of acoustic reasoning.,1,1
"Fangmeier T, 2006","Fangmeier T, 2006",exact_match,16512999,Fangmeier,2006,FMRI evidence for a three-stage model of deductive reasoning.,1,1
"Eslinger, 2009","Eslinger, 2009",exact_match,18835075,Eslinger,2009,Developmental shifts in fMRI activations during visuospatial relational reasoning.,1,1
"Elliott R, 1997","Elliott R, 1997",exact_match,11671913,Elliott,1997,"An Improved Synthesis of 7-Substituted Pyrrolo[3,2-d]pyrimidines.",1,1
"Ebisch, 2012","Ebisch, 2012",exact_match,22565203,Ebisch,2012,"Common and unique neuro-functional basis of induction, visualization, and spatial relationships as cognitive components of fluid intelligence.",1,1
"Duncan, 2000","Duncan, 2000",exact_match,10903207,Duncan,2000,A neural basis for general intelligence.,1,1
"Desco, 2011","Desco, 2011",exact_match,21463696,Desco,2011,Mathematically gifted adolescents use more extensive and more bilateral areas of the fronto-parietal network than controls during executive functioning and fluid reasoning tasks.,1,1
"Delazer M, 2005","Delazer M, 2005",exact_match,15808984,Delazer,2005,Learning by strategies and learning by drill--evidence from an fMRI study.,1,1
"Delazer M, 2003","Delazer M, 2003",exact_match,14659499,Delazer,2003,Learning complex arithmetic--an fMRI study.,1,1
"Dehaene S, 1999","Dehaene S, 1999",manual_override,10320379,,,,0,0
"De Pisapia, 2006","De Pisapia, 2006",manual_override,16769743,De Pisapia,2007,Functional specializations in lateral prefrontal cortex associated with the integration and segregation of information in working memory.,0.95,1
"Cowell S F, 2000","Cowell S F, 2000",exact_match,11034863,Cowell,2000,The functional neuroanatomy of simple calculation and number repetition: A parametric PET activation study.,1,1
"Christoff, 2009","Christoff, 2009",exact_match,19505444,Christoff,2009,Prefrontal organization of cognitive control according to levels of abstraction.,1,1
"Christoff, 2001","Christoff, 2001",exact_match,11697945,Christoff,2001,Rostrolateral prefrontal cortex involvement in relational integration during reasoning.,1,1
"Christodoulou C, 2001","Christodoulou C, 2001",manual_override,11697945,Christoff,2001,Rostrolateral prefrontal cortex involvement in relational integration during reasoning.,0.875,1
"Chochon F, 1999","Chochon F, 1999",manual_override,10601743,Chochon,1999,Differential contributions of the left and right inferior parietal lobules to number processing.,1,2
"Cho, 2010","Cho, 2010",exact_match,19549622,Cho,2010,Common and dissociable prefrontal loci associated with component mechanisms of analogical reasoning.,1,1
"Chen, 2003","Chen, 2003",exact_match,12589886,Chen,2003,A functional MRI study of high-level cognition. II. The game of GO.,1,1
"Canessa, 2005","Canessa, 2005",exact_match,15852469,Canessa,2005,The effect of social content on deductive reasoning: an fMRI study.,1,1
"Campbell Z, 2009","Campbell Z, 2009",exact_match,20183185,Campbell,2009,Utilizing virtual reality to improve the ecological validity of clinical neuropsychology: an FMRI case study elucidating the neural basis of planning by comparing the Tower of London with a three-dimensional navigation task.,1,1
"Brown T, 2014","Brown T, 2014",exact_match,23448868,Brown,2014,Contributions of medial temporal lobe and striatal memory systems to learning and retrieving overlapping spatial memories.,1,1
"Blackwood, 2004","Blackwood, 2004",exact_match,15130588,Blackwood,2004,The cerebellum and decision making under uncertainty.,1,1
"Beauchamp M H, 2003","Beauchamp M H, 2003",exact_match,15470553,Beauchamp,2003,[Rational motivation of drug injection and prostitution].,1,1
"Barra J, 2012","Barra J, 2012",exact_match,23209583,Barra,2012,Does an oblique/slanted perspective during virtual navigation engage both egocentric and allocentric brain strategies?,1,1
"Baker, 1996","Baker, 1996",exact_match,8736565,Baker,1996,Neural systems engaged by planning: a PET study of the Tower of London task.,1,1
"Bagga, 2014","Bagga, 2014",exact_match,24221533,Bagga,2014,Assessment of abstract reasoning abilities in alcohol-dependent subjects: an fMRI study.,1,1
"Aziz-Zadeh, 2009","Aziz-Zadeh, 2009",exact_match,18344174,Aziz-Zadeh,2009,"""Aha!"": The neural correlates of verbal insight solutions.",1,1
"Audoin B, 2005","Audoin B, 2005",exact_match,15543553,Audoin,2005,Magnetic resonance study of the influence of tissue damage and cortical reorganization on PASAT performance at the earliest stage of multiple sclerosis.,1,1
"Atherton, 2003","Atherton, 2003",manual_override,12589885,,,,0,0
"Andres M, 2011","Andres M, 2011",exact_match,21073958,Andres,2011,Role of distinct parietal areas in arithmetic: an fMRI-guided TMS study.,1,1
"Acuna, 2002","Acuna, 2002",exact_match,12427681,Acuna,2002,Frontal and parietal lobe activation during transitive inference in humans.,1,1
"Goel and Dolan, 2000","Goel and Dolan, 2000",manual_override,10769309,,,,,
