nimads_study_id,nimads_name,match_status,matched_pmid,matched_author,matched_year,matched_title,match_score,match_count
"(2)Bjork, 2008","(2)Bjork, 2008",exact_match,18295984,Bjork,2008,Reduced posterior mesofrontal cortex activation by risky rewards in substance-dependent patients.,1,1
"(24)Levy, 2010","(24)Levy, 2010",exact_match,20032238,Levy,2010,Neural representation of subjective value under risk and ambiguity.,1,1
(25)Bode 2013,(25)Bode 2013,exact_match,23041528,Bode,2013,Similar neural mechanisms for perceptual guesses and free decisions.,1,1
(26)Bode 2018,(26)Bode 2018,exact_match,29408524,Bode,2018,Dissociating neural variability related to stimulus quality and response times in perceptual decision-making.,1,1
(4)Gluth(2014),(4)Gluth(2014),exact_match,23476024,Gluth,2014,Neural evidence for adaptive strategy selection in value-based decision-making.,1,1
"(14)Kahnt, 2011","(14)Kahnt, 2011",exact_match,21555079,Kahnt,2011,Perceptual learning and decision-making in human medial frontal cortex.,1,1
"(17)Singh, 2008","(17)Singh, 2008",exact_match,18375149,Singh,2008,Transient and linearly graded deactivation of the human default-mode network by a visual detection task.,1,1
"(35)Claus,2012","(35)Claus,2012",exact_match,22309791,Claus,2012,Neural mechanisms of risk taking and relationships with hazardous drinking.,1,1
"(70)Miedl,2010","(70)Miedl,2010",exact_match,20138482,Miedl,2010,Neurobiological correlates of problem gambling in a quasi-realistic blackjack scenario as revealed by fMRI.,1,1
(12)Tosoni 2008,(12)Tosoni 2008,exact_match,18997791,Tosoni,2008,Sensory-motor mechanisms in human parietal cortex underlie arbitrary visual decisions.,1,1
"(13)Fujino, 2016","(13)Fujino, 2016",exact_match,27623361,Fujino,2016,Ambiguity aversion in schizophrenia: An fMRI study of decision-making under risk and ambiguity.,1,1
(18)Snyder 2011,(18)Snyder 2011,exact_match,21534685,Snyder,2011,Psychometrically matched tasks evaluating differential fMRI activation during form and motion processing.,1,1
"(19)Paulus,2005","(19)Paulus,2005",exact_match,15784440,Paulus,2005,Superior temporal gyrus and insula provide response and outcome-dependent information during assessment and action selection in a decision-making situation.,1,1
"(20)Verney,2003","(20)Verney,2003",exact_match,12802176,Verney,2003,Error-rate-related caudate and parietal cortex activation during decision making.,1,1
(22)Hebart 2016,(22)Hebart 2016,exact_match,25112281,Hebart,2016,The Relationship between Perceptual Decision Variables and Confidence in the Human Brain.,1,1
"(22)Paulus,2008","(22)Paulus,2008",exact_match,17949691,Paulus,2008,Reduced behavioral and neural activation in stimulant users to different error rates during decision making.,1,1
"(26)Paulus, 2001","(26)Paulus, 2001",exact_match,11133312,Paulus,2001,"Prefrontal, parietal, and temporal cortex networks underlie decision-making in the presence of uncertainty.",1,1
"(3)Fleming, 2010","(3)Fleming, 2010",exact_match,20357071,Fleming,2010,Effects of category-specific costs on neural systems for perceptual decision-making.,1,1
"(30)Paulus, 2004","(30)Paulus, 2004",exact_match,15184037,Paulus,2004,Anterior cingulate activation in high trait anxious subjects is related to altered error processing during decision making.,1,1
(31)Hebart 2012,(31)Hebart 2012,exact_match,22922368,Hebart,2012,Human visual and parietal cortex encode visual choices independent of motor plans.,1,1
"(37)Leland, 2006","(37)Leland, 2006",exact_match,16959497,Leland,2006,Young adult stimulant users' increased striatal activation during uncertainty is related to impulsivity.,1,1
"(6)Huettel et al., 2006","(6)Huettel et al., 2006",exact_match,16504951,Huettel,2006,Neural signatures of economic preferences for risk and ambiguity.,1,1
"(63)Yaxley,2011","(63)Yaxley,2011",exact_match,22194728,Yaxley,2011,Behavioral risk elicits selective activation of the executive system in adolescents: clinical implications.,1,1
"(11)Sunaert, 2000","(11)Sunaert, 2000",exact_match,10860790,Sunaert,2000,"Attention to speed of motion, speed discrimination, and task difficulty: an fMRI study.",1,1
"(13)Ivanoff, 2008","(13)Ivanoff, 2008",exact_match,18612380,Ivanoff,2008,fMRI evidence for a dual process account of the speed-accuracy tradeoff in decision-making.,1,1
"(15)Huettel et al., 2005","(15)Huettel et al., 2005",exact_match,15800185,Huettel,2005,Decisions under uncertainty: probabilistic context influences activation of prefrontal and parietal cortices.,1,1
(23)Krueger 2017,(23)Krueger 2017,exact_match,28131862,Krueger,2017,Evidence accumulation detected in BOLD signal using slow perceptual decision making.,1,1
"(23)Stewart,2013","(23)Stewart,2013",exact_match,24298242,Stewart,2013,Altered frontocingulate activation during aversive interoceptive processing in young adults transitioning to problem stimulant use.,1,1
(24)Baumann 2014,(24)Baumann 2014,exact_match,23982589,Baumann,2014,Effects of attention and perceptual uncertainty on cerebellar activity during visual motion perception.,1,1
(28)Shankar 2017,(28)Shankar 2017,exact_match,28250149,Shankar,2017,Perceptual and categorical decision making: goal-relevant representation of two domains at different levels of abstraction.,1,1
"(4)Heekeren, 2004","(4)Heekeren, 2004",exact_match,15483614,Heekeren,2004,A general mechanism for perceptual decision-making in the human brain.,1,1
"(5)Heekeren, 2006","(5)Heekeren, 2006",exact_match,16785427,Heekeren,2006,Involvement of human left dorsolateral prefrontal cortex in perceptual decision making is independent of response modality.,1,1
"(58)Crowley,2015","(58)Crowley,2015",exact_match,26176860,Crowley,2015,Adolescents' Neural Processing of Risky Decisions: Effects of Sex and Behavioral Disinhibition.,1,1
"(16)Lundblad, 2011","(16)Lundblad, 2011",exact_match,21741443,Lundblad,2011,Cortical processing of tactile direction discrimination based on spatiotemporal cues in man.,1,1
"(16)Yacubian, 2006","(16)Yacubian, 2006",exact_match,16971537,Yacubian,2006,Dissociable systems for gain- and loss-related value predictions and errors of prediction in the human brain.,1,1
"(18)Lawrence, 2009","(18)Lawrence, 2009",exact_match,18787233,Lawrence,2009,Distinct roles of prefrontal cortical subregions in the Iowa Gambling Task.,1,1
(30)Pedersen 2015,(30)Pedersen 2015,exact_match,26510176,Pedersen,2015,Evidence Accumulation and Choice Maintenance Are Dissociated in Human Perceptual Decision Making.,1,1
"(31)Hosseini, 2010","(31)Hosseini, 2010",exact_match,20472072,Hosseini,2010,Aging and decision making under uncertainty: behavioral and neural evidence for the preservation of decision making in the absence of learning in old age.,1,1
"(18)Blackwood,2004","(18)Blackwood,2004",exact_match,15130588,Blackwood,2004,The cerebellum and decision making under uncertainty.,1,1
(29)Wendelken 2009,(29)Wendelken 2009,exact_match,19897796,Wendelken,2009,Stimulus and response conflict processing during perceptual decision making.,1,1
"(37)Bednarski,2012","(37)Bednarski,2012",exact_match,22339607,Bednarski,2012,Neural processes of an indirect analog of risk taking in young nondependent adult alcohol drinkers-an FMRI study of the stop signal task.,1,1
"(39)Cservenka, 2012","(39)Cservenka, 2012",exact_match,22250647,Cservenka,2012,Risky decision-making: an FMRI study of youth at high risk for alcoholism.,1,1
"(46)Leijenhorst,2010","(46)Leijenhorst,2010",exact_match,20188198,Van Leijenhorst,2010,Adolescent risky decision-making: neurocognitive development of reward and control regions.,1,1
"(10)Philiastides, 2007","(10)Philiastides, 2007",exact_match,18045902,Philiastides,2007,EEG-informed fMRI reveals spatiotemporal characteristics of perceptual decision making.,1,1
"(38)Pushkarskaya, 2010","(38)Pushkarskaya, 2010",exact_match,20805539,Pushkarskaya,2010,Beyond risk and ambiguity: deciding under ignorance.,1,1
"(38)Pushkarskaya, 2015","(38)Pushkarskaya, 2015",exact_match,26640434,Pushkarskaya,2015,Neural Correlates of Decision-Making Under Ambiguity and Conflict.,1,1
"(25)Lopez-Paniagua and seger, 2013","(25)Lopez-Paniagua and seger, 2013",exact_match,24367286,Lopez-Paniagua,2013,Coding of level of ambiguity within neural systems mediating choice.,1,1
